date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:48	14090/14090	---M--	200	added ('OK')	image/jpeg	etag:%22d1efe6ed9d60d01:0%22	http://cnettr.com/Storage/Web/Original/a728fc00-9275-4fd9-a2ee-235b0abf7247.jpg	C:/cnet/Cnet/Storage/Web/Original/a728fc00-9275-4fd9-a2ee-235b0abf7247.jpg	(from http://cnettr.com/tr-tr/products)
14:29:48	18046/18046	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:49%20GMT	http://cnettr.com/tr-tr/partners/1/distributorler	C:/cnet/Cnet/tr-tr/partners/1/distributorler.html	(from http://cnettr.com/tr-tr/partners)
14:29:49	18628/18628	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:49%20GMT	http://cnettr.com/tr-tr/partners/7/dagiticilar	C:/cnet/Cnet/tr-tr/partners/7/dagiticilar.html	(from http://cnettr.com/tr-tr/partners)
14:29:50	19195/19195	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:50%20GMT	http://cnettr.com/tr-tr/partners/8/toptancilar	C:/cnet/Cnet/tr-tr/partners/8/toptancilar.html	(from http://cnettr.com/tr-tr/partners)
14:29:51	17978/17978	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:50%20GMT	http://cnettr.com/tr-tr/partners/2/online-magazalar	C:/cnet/Cnet/tr-tr/partners/2/online-magazalar.html	(from http://cnettr.com/tr-tr/partners)
14:29:52	4031/4031	---M--	200	added ('OK')	image/jpeg	etag:%2267fc28701966d01:0%22	http://cnettr.com/Storage/Web/Original/5e2b5a2a-b90f-41aa-adb3-093ddb1f082d.jpg	C:/cnet/Cnet/Storage/Web/Original/5e2b5a2a-b90f-41aa-adb3-093ddb1f082d.jpg	(from http://cnettr.com/tr-tr/partners)
14:29:52	13840/13840	---M--	200	added ('OK')	image/jpeg	etag:%2212eadad8f258d01:0%22	http://cnettr.com/Storage/Web/Original/0757c2ed-e3d2-4325-9545-7c4044b9b0b4.jpg	C:/cnet/Cnet/Storage/Web/Original/0757c2ed-e3d2-4325-9545-7c4044b9b0b4.jpg	(from http://cnettr.com/tr-tr/products)
14:29:54	10510/10510	---M--	200	added ('OK')	image/png	etag:%228dcd83c2826d11:0%22	http://cnettr.com/Storage/Web/Original/3734a338-e9b6-4886-928b-d43312f47a3b.png	C:/cnet/Cnet/Storage/Web/Original/3734a338-e9b6-4886-928b-d43312f47a3b.png	(from http://cnettr.com/tr-tr/partners)
14:29:55	15736/15736	---M--	200	added ('OK')	image/jpeg	etag:%22a6fad4cac22d11:0%22	http://cnettr.com/Storage/Web/Original/460cee4a-3dee-4704-a7f6-4cfc61cba123.jpg	C:/cnet/Cnet/Storage/Web/Original/460cee4a-3dee-4704-a7f6-4cfc61cba123.jpg	(from http://cnettr.com/tr-tr/partners)
14:29:58	21538/21538	---M--	200	added ('OK')	image/png	etag:%2228c2c3cdbb4d11:0%22	http://cnettr.com/Storage/Web/Original/bccdf3f9-5100-41e0-b361-ed7b77adfb40.png	C:/cnet/Cnet/Storage/Web/Original/bccdf3f9-5100-41e0-b361-ed7b77adfb40.png	(from http://cnettr.com/tr-tr/partners)
14:29:58	17851/17851	---M--	200	added ('OK')	image/jpeg	etag:%2226232c33ddb4d11:0%22	http://cnettr.com/Storage/Web/Original/466c73fa-f6a0-4ee4-8e23-d95b0b6d89bb.jpg	C:/cnet/Cnet/Storage/Web/Original/466c73fa-f6a0-4ee4-8e23-d95b0b6d89bb.jpg	(from http://cnettr.com/tr-tr/partners)
14:29:59	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jul%202016%2011:31:58%20GMT	http://cnettr.com/spotcam/Images/favicon.ico	C:/cnet/Cnet/spotcam/Images/favicon.94.delayed	(from http://cnettr.com/spotcam/)
14:30:00	117150/117150	---M--	200	added ('OK')	text/css	etag:%22099ee2b633d01:0%22	http://cnettr.com/spotcam/Content/bootstrap.min.css	C:/cnet/Cnet/spotcam/Content/bootstrap.min.css	(from http://cnettr.com/spotcam/)
14:30:01	12667/12667	---M--	200	added ('OK')	image/jpeg	etag:%22b2b0edf9feb4d11:0%22	http://cnettr.com/Storage/Web/Original/41f8e21c-e7ae-4b72-97c3-c2304964b457.jpg	C:/cnet/Cnet/Storage/Web/Original/41f8e21c-e7ae-4b72-97c3-c2304964b457.jpg	(from http://cnettr.com/tr-tr/partners)
14:30:01	3882/3882	---M--	200	added ('OK')	text/css	etag:%22096a23b5055d01:0%22	http://cnettr.com/spotcam/Content/jquery.fullPage.css	C:/cnet/Cnet/spotcam/Content/jquery.fullPage.css	(from http://cnettr.com/spotcam/)
14:30:01	17376/17376	---M--	200	added ('OK')	text/css	etag:%22aeb7989636cd01:0%22	http://cnettr.com/spotcam/Content/Main.css	C:/cnet/Cnet/spotcam/Content/Main.css	(from http://cnettr.com/spotcam/)
14:30:02	762/762	---MC-	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202016%2011:33:07%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:300,400,600	C:/cnet/Cnet/css4545.css	(from http://cnettr.com/spotcam/)
14:30:02	41059/41059	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:32:02%20GMT	http://cnettr.com/spotcam/Default.aspx	C:/cnet/Cnet/spotcam/Default.html	(from http://cnettr.com/spotcam/)
14:30:04	2260/2260	---M--	200	added ('OK')	image/png	etag:%2217e645c15b56d01:0%22	http://cnettr.com/spotcam/Image/cnet-logo.png	C:/cnet/Cnet/spotcam/Image/cnet-logo.png	(from http://cnettr.com/spotcam/)
14:30:05	15808/15808	---M--	200	added ('OK')	image/png	etag:%220a3d9396e68d01:0%22	http://cnettr.com/spotcam/Image/logo.png	C:/cnet/Cnet/spotcam/Image/logo.png	(from http://cnettr.com/spotcam/)
14:30:19	176600/176600	---M--	200	added ('OK')	image/png	etag:%225c2cd68a98cd01:0%22	http://cnettr.com/Storage/Web/Original/30931376-be20-4dfd-b5cf-5fbd315cb25c.png	C:/cnet/Cnet/Storage/Web/Original/30931376-be20-4dfd-b5cf-5fbd315cb25c.png	(from http://cnettr.com/tr-tr/partners)
14:30:20	2143/2143	---M--	200	added ('OK')	image/png	etag:%226f259d97956d01:0%22	http://cnettr.com/spotcam/Image/slid-down.png	C:/cnet/Cnet/spotcam/Image/slid-down.png	(from http://cnettr.com/spotcam/)
14:30:20	89863/89863	---M--	200	added ('OK')	image/png	etag:%2251c725d78356d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/urun.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/urun.png	(from http://cnettr.com/spotcam/)
14:30:21	3181/3181	---M--	200	added ('OK')	image/png	etag:%22b1ef2a9d2657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/kolay-kurulum.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/kolay-kurulum.png	(from http://cnettr.com/spotcam/)
14:30:21	3026/3026	---M--	200	added ('OK')	image/png	etag:%224a9b2ea22657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/hd-video-kalitesi.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/hd-video-kalitesi.png	(from http://cnettr.com/spotcam/)
14:30:22	3221/3221	---M--	200	added ('OK')	image/png	etag:%22888559a22657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/wifi-baglantisi.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/wifi-baglantisi.png	(from http://cnettr.com/spotcam/)
14:30:23	3030/3030	---M--	200	added ('OK')	image/png	etag:%22d4d286a22657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/iki-yonlu-ses-bileseni.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/iki-yonlu-ses-bileseni.png	(from http://cnettr.com/spotcam/)
